

" ";" ";" ";"Dokon?ana stanovanja - SKUPAJ";" ";" "
" ";" ";" ";"Investitor - SKUPAJ";"Pravna oseba";"Fizi?na oseba"
"2013"
" ";"?tevilo"
" ";" ";"SLOVENIJA";3484;828;2656
" ";" ";"Pomurska";227;3;224
" ";" ";"Podravska";547;94;453
" ";" ";"Koro?ka";103;8;95
" ";" ";"Savinjska";687;300;387
" ";" ";"Zasavska";39;19;20
" ";" ";"Spodnjeposavska";118;2;116
" ";" ";"Jugovzhodna Slovenija";227;12;215
" ";" ";"Osrednjeslovenska";606;94;512
" ";" ";"Gorenjska";460;227;233
" ";" ";"Notranjsko-kra?ka";108;5;103
" ";" ";"Gori?ka";188;26;162
" ";" ";"Obalno-kra?ka";174;38;136
