"Prebivalstvo po: STATISTIČNA REGIJA , POLLETJE"

" ";"2008";"2009";"2010";"2011";"2012";"2013"
"SLOVENIJA";2025866;2032362;2046976;2050189;2055496;2058821
"Pomurska";121824;119537;119548;119145;118988;118022
"Podravska";321781;322900;323343;323119;323534;323238
"Koroška";73714;72481;72812;72494;72364;72100
"Savinjska";261243;258845;260025;259726;260253;260217
"Zasavska";45226;44750;44706;44222;43926;43502
"Spodnjeposavska";70353;69900;70192;70167;70164;70211
"Jugovzhodna Slovenija";141547;141166;142092;142483;142680;142509
"Osrednjeslovenska";508607;521965;529646;533213;536484;541718
"Gorenjska";201254;201779;202903;203427;204057;203984
"Notranjsko-kraška";52083;51728;52217;52287;52387;52382
"Goriška";120329;118533;119080;119146;119236;119002
"Obalno-kraška";107905;108778;110412;110760;111423;111936
